state,gdp,size,population
AC,8192366,152581,790101
AL,18302279,27767,3321730
AM,67572523,1570745,3873743
AP,8901882,142814,750912
BA,56624041,564692,15126371
CE,56728828,148825,8842791
DF,197432059,5801,2852372
ES,23370919,46077,3885049
GO,46094735,340086,6523222
MA,26326087,331983,6850884
MG,87656760,586528,20734097
MS,23902135,357124,2619657
MT,20525597,903357,3224357
PA,28706165,1247689,8073924
PB,17462539,56440,3943885
PE,50688395,98311,9277727
PI,17762266,251529,3194718
PR,78892229,199315,11081692
RJ,299849795,43696,16461173
RN,19076030,52796,3408510
RO,12609918,237576,1748531
RR,7339681,224298,496936
RS,63990644,281748,11207274
SC,17328527,95346,6727148
SE,14893787,21910,2219574
SP,628064882,248209,44035304
TO,6544297,277620,1496880
